indicatorId,geoUnit,year,type,subtype,value
PRYA.12MO.AG15T24.F,ALB,2023,Source,Data sources,"UIS based on UIS based on ALB - LFS - Labour Force Survey; Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None"
PRYA.12MO.AG15T24.F,ARE,2021,Source,Data sources,"UIS based on UIS based on ARE - LFS - Labour Force Survey; Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None"
PRYA.12MO.AG15T24.F,ARE,2022,Source,Data sources,"UIS based on UIS based on ARE - LFS - Labour Force Survey; Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None"
PRYA.12MO.AG15T24.F,ARE,2023,Source,Data sources,"UIS based on UIS based on ARE - LFS - Labour Force Survey; Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None"
PRYA.12MO.AG15T24.F,ARG,2004,Source,Data sources,"UIS based on ARG - LFS - Permanent Household Surve - Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 15 years old | Age coverage. Reference period: not specified"
PRYA.12MO.AG15T24.F,ARG,2005,Source,Data sources,"UIS based on ARG - LFS - Permanent Household Surve - Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 15 years old | Age coverage. Reference period: not specified"
PRYA.12MO.AG15T24.F,ARG,2006,Source,Data sources,"UIS based on ARG - LFS - Permanent Household Surve - Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 15 years old | Age coverage. Reference period: not specified"
PRYA.12MO.AG15T24.F,ARG,2008,Source,Data sources,"UIS based on ARG - LFS - Permanent Household Surve - Repository: ILO-STATISTICS - Micro data processing | Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before Dece. Reference period: not specified"
PRYA.12MO.AG15T24.F,ARG,2009,Source,Data sources,"UIS based on ARG - LFS - Permanent Household Surve - Repository: ILO-STATISTICS - Micro data processing | Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before Dece. Reference period: not specified"
PRYA.12MO.AG15T24.F,ARG,2010,Source,Data sources,"UIS based on UIS based on ARG - LFS - Permanent Household Survey, Urban; Repository: ILO-STATISTICS - Micro data processing | Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data coll"
PRYA.12MO.AG15T24.F,ARG,2011,Source,Data sources,"UIS based on UIS based on ARG - LFS - Permanent Household Survey, Urban; Repository: ILO-STATISTICS - Micro data processing | Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data coll"
PRYA.12MO.AG15T24.F,ARG,2012,Source,Data sources,"UIS based on UIS based on ARG - LFS - Permanent Household Survey, Urban; Repository: ILO-STATISTICS - Micro data processing | Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data coll"
PRYA.12MO.AG15T24.F,ARG,2013,Source,Data sources,"UIS based on UIS based on ARG - LFS - Permanent Household Survey, Urban; Repository: ILO-STATISTICS - Micro data processing | Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data coll"
PRYA.12MO.AG15T24.F,ARG,2014,Source,Data sources,"UIS based on UIS based on ARG - LFS - Permanent Household Survey, Urban; Repository: ILO-STATISTICS - Micro data processing | Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution. The INDEC, based on what is stated in decrees 181/15 and 55/16, is undertaking the investigations required to ensure the regularity of data coll"
PRYA.12MO.AG15T24.F,ARG,2017,Source,Data sources,"UIS based on UIS based on ARG - LFS - Permanent Household Survey, Urban; Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None"
PRYA.12MO.AG15T24.F,ARG,2018,Source,Data sources,"UIS based on UIS based on ARG - LFS - Permanent Household Survey, Urban; Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None"
PRYA.12MO.AG15T24.F,ARG,2019,Source,Data sources,"UIS based on UIS based on ARG - LFS - Permanent Household Survey, Urban; Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None"
PRYA.12MO.AG15T24.F,ARG,2020,Source,Data sources,"UIS based on UIS based on ARG - LFS - Permanent Household Survey, Urban; Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None"
PRYA.12MO.AG15T24.F,ARG,2021,Source,Data sources,"UIS based on UIS based on ARG - LFS - Permanent Household Survey, Urban; Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None"
PRYA.12MO.AG15T24.F,ARG,2022,Source,Data sources,"UIS based on UIS based on ARG - LFS - Permanent Household Survey, Urban; Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None"
PRYA.12MO.AG15T24.F,ARG,2023,Source,Data sources,"UIS based on UIS based on ARG - LFS - Permanent Household Survey, Urban; Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None"
PRYA.12MO.AG15T24.F,ARM,2010,Source,Data sources,"UIS based on UIS based on ARM - HIES - Households Living Conditions Survey; Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: 75 years old"
PRYA.12MO.AG15T24.F,ARM,2011,Source,Data sources,"UIS based on UIS based on ARM - HIES - Households Living Conditions Survey; Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: 75 years old"
