region,region_type,year,access,pcnt
Americas,WHO,2007,basic,12.9
Americas,WHO,2007,limited,0.42
Americas,WHO,2007,unimproved,2.87
Americas,WHO,2007,surface,1.27
Americas,WHO,2008,safe,82.71
Americas,WHO,2008,basic,12.95
Americas,WHO,2008,limited,0.41
Americas,WHO,2008,unimproved,2.71
Americas,WHO,2008,surface,1.22
Americas,WHO,2009,safe,82.88
Americas,WHO,2009,basic,12.98
Americas,WHO,2009,limited,0.41
Americas,WHO,2009,unimproved,2.56
Americas,WHO,2009,surface,1.18
Americas,WHO,2010,safe,83.05
Americas,WHO,2010,basic,13.04
Americas,WHO,2010,limited,0.4
Americas,WHO,2010,unimproved,2.38
Americas,WHO,2010,surface,1.13
Americas,WHO,2011,safe,83.08
Americas,WHO,2011,basic,13.23
Americas,WHO,2011,limited,0.4
Americas,WHO,2011,unimproved,2.2
Americas,WHO,2011,surface,1.08
Americas,WHO,2012,safe,83.11
Americas,WHO,2012,basic,13.42
Americas,WHO,2012,limited,0.4
Americas,WHO,2012,unimproved,2.03
Americas,WHO,2012,surface,1.04
Americas,WHO,2013,safe,83.17
Americas,WHO,2013,basic,13.57
Americas,WHO,2013,limited,0.4
Americas,WHO,2013,unimproved,1.88
Americas,WHO,2013,surface,0.98
Americas,WHO,2014,safe,83.24
Americas,WHO,2014,basic,13.71
Americas,WHO,2014,limited,0.4
Americas,WHO,2014,unimproved,1.73
Americas,WHO,2014,surface,0.93
Americas,WHO,2015,safe,83.3
Americas,WHO,2015,basic,13.86
Americas,WHO,2015,limited,0.39
Americas,WHO,2015,unimproved,1.58
Americas,WHO,2015,surface,0.88
Americas,WHO,2016,safe,83.35
Americas,WHO,2016,basic,13.99
Americas,WHO,2016,limited,0.39
Americas,WHO,2016,unimproved,1.44
Americas,WHO,2016,surface,0.82
Americas,WHO,2017,safe,83.42
Americas,WHO,2017,basic,14.08
Americas,WHO,2017,limited,0.37
Americas,WHO,2017,unimproved,1.12
Americas,WHO,2017,surface,1.02
Americas,WHO,2018,safe,83.48
Americas,WHO,2018,basic,14.21
Americas,WHO,2018,limited,0.37
Americas,WHO,2018,unimproved,0.94
Americas,WHO,2018,surface,1
Americas,WHO,2019,safe,83.56
Americas,WHO,2019,basic,14.31
Americas,WHO,2019,limited,0.36
Americas,WHO,2019,unimproved,0.83
Americas,WHO,2019,surface,0.93
Americas,WHO,2020,safe,83.61
Americas,WHO,2020,basic,14.47
Americas,WHO,2020,limited,0.31
Americas,WHO,2020,unimproved,0.76
Americas,WHO,2020,surface,0.86
Americas,WHO,2021,safe,81.43
Americas,WHO,2021,basic,16.93
Americas,WHO,2021,limited,0.26
Americas,WHO,2021,unimproved,0.63
Americas,WHO,2021,surface,0.75
Americas,WHO,2022,safe,81.45
Americas,WHO,2022,basic,17
Americas,WHO,2022,limited,0.26
Americas,WHO,2022,unimproved,0.58
Americas,WHO,2022,surface,0.7
Australia and New Zealand,SDG,2000,safe,NA
Australia and New Zealand,SDG,2000,basic,NA
Australia and New Zealand,SDG,2000,limited,0
Australia and New Zealand,SDG,2000,unimproved,0.2
Australia and New Zealand,SDG,2000,surface,0.04
Australia and New Zealand,SDG,2001,safe,NA
Australia and New Zealand,SDG,2001,basic,NA
Australia and New Zealand,SDG,2001,limited,0
Australia and New Zealand,SDG,2001,unimproved,0.2
Australia and New Zealand,SDG,2001,surface,0.04
Australia and New Zealand,SDG,2002,safe,NA
Australia and New Zealand,SDG,2002,basic,NA
Australia and New Zealand,SDG,2002,limited,0
Australia and New Zealand,SDG,2002,unimproved,0.2
Australia and New Zealand,SDG,2002,surface,0.04
Australia and New Zealand,SDG,2003,safe,NA
Australia and New Zealand,SDG,2003,basic,NA
Australia and New Zealand,SDG,2003,limited,0
Australia and New Zealand,SDG,2003,unimproved,0.18
Australia and New Zealand,SDG,2003,surface,0.04
Australia and New Zealand,SDG,2004,safe,NA
Australia and New Zealand,SDG,2004,basic,NA
Australia and New Zealand,SDG,2004,limited,0
Australia and New Zealand,SDG,2004,unimproved,0.16
Australia and New Zealand,SDG,2004,surface,0.04
Australia and New Zealand,SDG,2005,safe,NA
Australia and New Zealand,SDG,2005,basic,NA
Australia and New Zealand,SDG,2005,limited,0
Australia and New Zealand,SDG,2005,unimproved,0.15
Australia and New Zealand,SDG,2005,surface,0.04
Australia and New Zealand,SDG,2006,safe,NA
Australia and New Zealand,SDG,2006,basic,NA
Australia and New Zealand,SDG,2006,limited,0
Australia and New Zealand,SDG,2006,unimproved,0.13
Australia and New Zealand,SDG,2006,surface,0.04
Australia and New Zealand,SDG,2007,safe,NA
Australia and New Zealand,SDG,2007,basic,NA
Australia and New Zealand,SDG,2007,limited,0
Australia and New Zealand,SDG,2007,unimproved,0.11
Australia and New Zealand,SDG,2007,surface,0.04
Australia and New Zealand,SDG,2008,safe,NA
Australia and New Zealand,SDG,2008,basic,NA
Australia and New Zealand,SDG,2008,limited,0
Australia and New Zealand,SDG,2008,unimproved,0.09
Australia and New Zealand,SDG,2008,surface,0.04
Australia and New Zealand,SDG,2009,safe,NA
Australia and New Zealand,SDG,2009,basic,NA
Australia and New Zealand,SDG,2009,limited,0
Australia and New Zealand,SDG,2009,unimproved,0.08
Australia and New Zealand,SDG,2009,surface,0.04
Australia and New Zealand,SDG,2010,safe,NA
Australia and New Zealand,SDG,2010,basic,NA
Australia and New Zealand,SDG,2010,limited,0
Australia and New Zealand,SDG,2010,unimproved,0.06
Australia and New Zealand,SDG,2010,surface,0.04
Australia and New Zealand,SDG,2011,safe,NA
Australia and New Zealand,SDG,2011,basic,NA
Australia and New Zealand,SDG,2011,limited,0
Australia and New Zealand,SDG,2011,unimproved,0.05
Australia and New Zealand,SDG,2011,surface,0.04
Australia and New Zealand,SDG,2012,safe,NA
Australia and New Zealand,SDG,2012,basic,NA
Australia and New Zealand,SDG,2012,limited,0
Australia and New Zealand,SDG,2012,unimproved,0.05
Australia and New Zealand,SDG,2012,surface,0.04
Australia and New Zealand,SDG,2013,safe,NA
Australia and New Zealand,SDG,2013,basic,NA
Australia and New Zealand,SDG,2013,limited,0
Australia and New Zealand,SDG,2013,unimproved,0.04
Australia and New Zealand,SDG,2013,surface,0.04
Australia and New Zealand,SDG,2014,safe,NA
Australia and New Zealand,SDG,2014,basic,NA
Australia and New Zealand,SDG,2014,limited,0
Australia and New Zealand,SDG,2014,unimproved,0.03
Australia and New Zealand,SDG,2014,surface,0
Australia and New Zealand,SDG,2015,safe,NA
Australia and New Zealand,SDG,2015,basic,NA
Australia and New Zealand,SDG,2015,limited,0
Australia and New Zealand,SDG,2015,unimproved,0.03
Australia and New Zealand,SDG,2015,surface,0
Australia and New Zealand,SDG,2016,safe,NA
Australia and New Zealand,SDG,2016,basic,NA
Australia and New Zealand,SDG,2016,limited,0
Australia and New Zealand,SDG,2016,unimproved,0.03
Australia and New Zealand,SDG,2016,surface,0
Australia and New Zealand,SDG,2017,safe,NA
Australia and New Zealand,SDG,2017,basic,NA
Australia and New Zealand,SDG,2017,limited,0
Australia and New Zealand,SDG,2017,unimproved,0.03
Australia and New Zealand,SDG,2017,surface,0
